wl,n cold,k cold,n hot,k hot
1.97,2.85,0.23,2.01,3.39
1.98,2.85,0.23,2.03,3.41
1.99,2.85,0.23,2.04,3.42
2,2.85,0.23,2.05,3.44
2.1,2.82,0.19,2.2,3.58
2.2,2.81,0.17,2.31,3.71
2.3,2.8,0.16,2.42,3.84
2.4,2.79,0.15,2.52,3.96
2.5,2.78,0.14,2.63,4.08
2.6,2.77,0.13,2.74,4.19
2.7,2.77,0.12,2.85,4.3
2.8,2.76,0.12,2.95,4.41
2.9,2.75,0.11,3.06,4.51
3,2.75,0.11,3.17,4.62
3.1,2.74,0.1,3.28,4.71
3.2,2.74,0.1,3.38,4.81
3.3,2.73,0.1,3.49,4.9
3.4,2.73,0.09,3.6,4.99
3.5,2.72,0.09,3.71,5.08
3.6,2.72,0.09,3.82,5.16
3.7,2.72,0.09,3.94,5.24
3.8,2.71,0.08,4.05,5.32
3.9,2.71,0.08,4.16,5.39
4,2.7,0.08,4.27,5.46
4.1,2.7,0.08,4.39,5.52
4.2,2.69,0.08,4.5,5.59
4.3,2.69,0.08,4.61,5.65
4.4,2.68,0.08,4.72,5.7
4.5,2.67,0.07,4.84,5.75
4.6,2.67,0.07,4.95,5.8
4.7,2.66,0.07,5.06,5.84
4.8,2.66,0.07,5.16,5.88
4.9,2.65,0.07,5.27,5.92
5,2.65,0.07,5.38,5.96
5.1,2.64,0.07,5.48,5.99
5.2,2.63,0.07,5.59,6.02
5.3,2.63,0.07,5.69,6.04
5.4,2.62,0.07,5.79,6.07
5.5,2.61,0.07,5.89,6.09
5.6,2.61,0.07,5.98,6.11
5.7,2.6,0.07,6.08,6.13
5.8,2.59,0.07,6.17,6.14
5.9,2.58,0.07,6.26,6.15
6,2.58,0.07,6.35,6.17
6.1,2.57,0.07,6.43,6.18
6.2,2.56,0.07,6.52,6.19
6.3,2.55,0.07,6.6,6.19
6.4,2.55,0.07,6.68,6.2
6.5,2.54,0.07,6.76,6.21
6.6,2.53,0.07,6.84,6.21
6.7,2.52,0.07,6.91,6.22
6.8,2.51,0.07,6.99,6.22
6.9,2.5,0.07,7.06,6.22
7,2.49,0.07,7.14,6.23
7.1,2.48,0.07,7.21,6.23
7.2,2.47,0.07,7.28,6.23
7.3,2.46,0.07,7.36,6.23
7.4,2.45,0.08,7.43,6.23
7.5,2.44,0.08,7.5,6.23
7.6,2.43,0.08,7.57,6.23
7.7,2.42,0.08,7.65,6.23
7.8,2.4,0.08,7.72,6.22
7.9,2.39,0.08,7.8,6.21
8,2.38,0.08,7.88,6.2
8.1,2.37,0.08,7.97,6.19
8.2,2.35,0.08,8.06,6.16
8.3,2.34,0.09,8.15,6.13
8.4,2.33,0.09,8.23,6.08
8.5,2.31,0.09,8.32,6.01
8.6,2.3,0.09,8.39,5.94
8.7,2.28,0.09,8.45,5.84
8.8,2.27,0.1,8.49,5.74
8.9,2.25,0.1,8.51,5.63
9,2.24,0.1,8.5,5.52
9.1,2.22,0.1,8.46,5.43
9.2,2.2,0.11,8.41,5.34
9.3,2.18,0.11,8.33,5.28
9.4,2.17,0.11,8.25,5.24
9.5,2.15,0.12,8.16,5.22
9.6,2.13,0.12,8.08,5.22
9.7,2.11,0.12,8,5.24
9.8,2.09,0.13,7.92,5.28
9.9,2.07,0.13,7.86,5.33
10,2.04,0.14,7.81,5.39
10.1,2.02,0.14,7.78,5.45
10.2,2,0.15,7.75,5.52
10.3,1.97,0.15,7.73,5.59
10.4,1.95,0.16,7.72,5.66
10.5,1.92,0.17,7.71,5.73
10.6,1.89,0.17,7.71,5.79
10.7,1.86,0.18,7.72,5.86
10.8,1.83,0.19,7.73,5.92
10.9,1.8,0.2,7.75,5.98
11,1.77,0.21,7.76,6.04
11.1,1.74,0.23,7.78,6.1
11.2,1.7,0.24,7.8,6.16
11.3,1.67,0.25,7.83,6.22
11.4,1.63,0.27,7.85,6.27
11.5,1.59,0.29,7.88,6.33
11.6,1.55,0.31,7.91,6.38
11.7,1.5,0.33,7.94,6.43
11.8,1.46,0.36,7.97,6.48
11.9,1.41,0.39,8.01,6.53
12,1.36,0.42,8.04,6.58
12.1,1.31,0.46,8.08,6.63
12.2,1.26,0.51,8.12,6.67
12.3,1.21,0.56,8.16,6.72
12.4,1.16,0.61,8.2,6.76
12.5,1.12,0.68,8.24,6.81
12.6,1.07,0.75,8.28,6.85
12.7,1.03,0.83,8.32,6.89
12.8,1,0.91,8.36,6.93
12.9,0.98,0.99,8.4,6.97
13,0.96,1.08,8.45,7
13.1,0.95,1.17,8.49,7.04
13.2,0.94,1.27,8.54,7.07
13.3,0.94,1.36,8.58,7.11
13.4,0.95,1.45,8.63,7.14
13.5,0.97,1.54,8.67,7.17
13.6,0.99,1.63,8.72,7.2
13.7,1.01,1.72,8.76,7.23
13.8,1.04,1.81,8.81,7.26
13.9,1.08,1.9,8.86,7.29
14,1.12,1.98,8.9,7.32
14.1,1.17,2.06,8.95,7.34
14.2,1.22,2.15,9,7.37
14.3,1.27,2.22,9.04,7.39
14.4,1.33,2.3,9.09,7.41
14.5,1.4,2.37,9.14,7.43
14.6,1.47,2.44,9.18,7.45
14.7,1.55,2.51,9.23,7.47
14.8,1.63,2.57,9.28,7.49
