wl,n,k
1.6,2.234967,0
1.605,2.234877,0
1.61,2.234787,0
1.615,2.234699,0
1.62,2.234611,0
1.625,2.234524,0
1.63,2.234438,0
1.635,2.234352,0
1.64,2.234268,0
1.645,2.234184,0
1.65,2.234101,0
1.655,2.234019,0
1.66,2.233937,0
1.665,2.233856,0
1.67,2.233776,0
1.675,2.233697,0
1.68,2.233619,0
1.685,2.233541,0
1.69,2.233464,0
1.695,2.233387,0
1.7,2.233311,0
1.705,2.233236,0
1.71,2.233162,0
1.715,2.233088,0
1.72,2.233015,0
1.725,2.232943,0
1.73,2.232871,0
1.735,2.2328,0
1.74,2.232729,0
1.745,2.232659,0
1.75,2.23259,0
1.755,2.232521,0
1.76,2.232453,0
1.765,2.232385,0
1.77,2.232318,0
1.775,2.232252,0
1.78,2.232186,0
1.785,2.232121,0
1.79,2.232056,0
1.795,2.231992,0
1.8,2.231929,0
1.805,2.231866,0
1.81,2.231803,0
1.815,2.231741,0
1.82,2.23168,0
1.825,2.231619,0
1.83,2.231558,0
1.835,2.231498,0
1.84,2.231439,0
1.845,2.23138,0
1.85,2.231321,0
1.855,2.231263,0
1.86,2.231206,0
1.865,2.231149,0
1.87,2.231092,0
1.875,2.231036,0
1.88,2.23098,0
1.885,2.230925,0
1.89,2.23087,0
1.895,2.230816,0
1.9,2.230762,0
1.905,2.230708,0
1.91,2.230655,0
1.915,2.230603,0
1.92,2.23055,0
1.925,2.230499,0
1.93,2.230447,0
1.935,2.230396,0
1.94,2.230346,0
1.945,2.230295,0
1.95,2.230246,0
1.955,2.230196,0
1.96,2.230147,0
1.965,2.230099,0
1.97,2.23005,0
1.975,2.230002,0
1.98,2.229955,0
1.985,2.229908,0
1.99,2.229861,0
1.995,2.229814,0
2,2.229768,0
2.005,2.229723,0
2.01,2.229677,0
2.015,2.229632,0
2.02,2.229587,0
2.025,2.229543,0
2.03,2.229499,0
2.035,2.229455,0
2.04,2.229412,0
2.045,2.229369,0
2.05,2.229326,0
2.055,2.229283,0
2.06,2.229241,0
2.065,2.229199,0
2.07,2.229158,0
2.075,2.229117,0
2.08,2.229076,0
2.085,2.229035,0
2.09,2.228995,0
2.095,2.228955,0
2.1,2.228915,0
2.105,2.228876,0
2.11,2.228836,0
2.115,2.228798,0
2.12,2.228759,0
2.125,2.228721,0
2.13,2.228683,0
2.135,2.228645,0
2.14,2.228607,0
2.145,2.22857,0
2.15,2.228533,0
2.155,2.228496,0
2.16,2.22846,0
2.165,2.228424,0
2.17,2.228388,0
2.175,2.228352,0
2.18,2.228316,0
2.185,2.228281,0
2.19,2.228246,0
2.195,2.228211,0
2.2,2.228177,0
2.205,2.228143,0
2.21,2.228109,0
2.215,2.228075,0
2.22,2.228041,0
2.225,2.228008,0
2.23,2.227975,0
2.235,2.227942,0
2.24,2.227909,0
2.245,2.227877,0
2.25,2.227845,0
2.255,2.227813,0
2.26,2.227781,0
2.265,2.227749,0
2.27,2.227718,0
2.275,2.227687,0
2.28,2.227656,0
2.285,2.227625,0
2.29,2.227595,0
2.295,2.227564,0
2.3,2.227534,0
2.305,2.227504,0
2.31,2.227474,0
2.315,2.227445,0
2.32,2.227415,0
2.325,2.227386,0
2.33,2.227357,0
2.335,2.227328,0
2.34,2.2273,0
2.345,2.227271,0
2.35,2.227243,0
2.355,2.227215,0
2.36,2.227187,0
2.365,2.22716,0
2.37,2.227132,0
2.375,2.227105,0
2.38,2.227078,0
2.385,2.227051,0
2.39,2.227024,0
2.395,2.226997,0
2.4,2.226971,0
2.405,2.226944,0
2.41,2.226918,0
2.415,2.226892,0
2.42,2.226866,0
2.425,2.226841,0
2.43,2.226815,0
2.435,2.22679,0
2.44,2.226765,0
2.445,2.22674,0
2.45,2.226715,0
2.455,2.22669,0
2.46,2.226665,0
2.465,2.226641,0
2.47,2.226617,0
2.475,2.226593,0
2.48,2.226569,0
2.485,2.226545,0
2.49,2.226521,0
2.495,2.226497,0
2.5,2.226474,0
